utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,IsFullTracking,SvPositionEcefXMeters,SvPositionEcefYMeters,SvPositionEcefZMeters,SvVelocityEcefXMetersPerSecond,SvVelocityEcefYMetersPerSecond,SvVelocityEcefZMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond,KlobucharAlpha0,KlobucharAlpha1,KlobucharAlpha2,KlobucharAlpha3,KlobucharBeta0,KlobucharBeta1,KlobucharBeta2,KlobucharBeta3
1773849034427,589344521000000,18,0.0,-1457294907906316256,-0.2549114227294922,142.92277046479285,-0.21556239988615278,13.87563758103154,21,3,0.0,16399,316252344891351,61,23.9,-733.8294677734375,0.9375,16,0.0,0.0,1575420000,,,,0,,1,-50.05,18.9,0.0,0.0,,,C,678246625157400,1,22477305.583307136,-12489904.489520926,-6597626.448815903,823.9901442465844,-105.19866363607892,3108.1313923639896,160527.41899976128,-0.0039672212733421475,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1773849034427,589344521000000,18,0.0,-1457294907906316256,-0.2549114227294922,142.92277046479285,-0.21556239988615278,13.87563758103154,21,10,0.0,16399,316252353058864,40,26.9,451.9570007324219,0.7339999675750732,16,0.0,0.0,1575420000,,,,0,,1,-50.05,21.9,0.0,0.0,,,C,678246625157400,1,5915013.885244212,13411204.441637306,22425073.308243807,-2614.5492047246844,921.5925049577263,108.05255695174075,-176978.8941482636,0.0008279125613626093,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1773849034427,589344521000000,18,0.0,-1457294907906316256,-0.2549114227294922,142.92277046479285,-0.21556239988615278,13.87563758103154,21,27,0.0,16399,316252355042166,27,29.7,532.2704467773438,0.581000030040741,16,0.0,0.0,1575420000,,,,0,,1,-50.05,24.7,0.0,0.0,,,C,678246625157400,1,22843772.776983365,11696702.534660649,7304764.034155216,587.7464802288728,810.5570296582727,-2943.947296617461,-21855.46788249497,-0.0033896414788614493,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1773849034427,589344521000000,18,0.0,-1457294907906316256,-0.2549114227294922,142.92277046479285,-0.21556239988615278,13.87563758103154,21,32,0.0,16399,316252351534642,61,23.5,-303.3280944824219,1.031999945640564,16,0.0,0.0,1575420000,,,,0,,1,-50.05,18.5,0.0,0.0,,,C,678246625157400,1,14110720.75179157,20403722.417350207,10018298.801744863,-1083.1011169616697,-610.4406856220639,2829.425340869008,-12756.555064785422,0.006346311594825238,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1773849034427,589344521000000,18,0.0,-1457294907906316256,-0.2549114227294922,142.92277046479285,-0.21556239988615278,13.87563758103154,21,6,0.0,49359,67834357853568,40,26.9,292.8024597167969,0.8930000066757202,16,0.0,0.0,1599750000,,,,0,,3,-45.46,21.9,4868.27392578125,16.33734703063965,,,C,678246625157400,1,5817261.194062981,12998765.223237328,21178015.031168927,-2657.6898869673823,-1157.4529815711498,1439.3202770454725,7325.832174748523,0.0002726596521824831,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1773849034427,589344521000000,18,0.0,-1457294907906316256,-0.2549114227294922,142.92277046479285,-0.21556239988615278,13.87563758103154,21,21,0.0,49359,67834355094227,35,27.9,468.6517333984375,0.7310000061988831,16,0.0,0.0,1604250000,,,,0,,3,-45.46,22.9,4868.27392578125,16.33734703063965,,,C,678246625157400,1,8799766.898073537,19600569.62388277,13726874.77949048,396.2747944441562,1848.0514209434293,-2893.9953993424288,-87143.96001800998,-0.0010906386087299325,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1773849034427,589344521000000,18,0.0,-1457294907906316256,-0.2549114227294922,142.92277046479285,-0.21556239988615278,13.87563758103154,21,7,0.0,49359,67834358410058,35,27.6,-571.8018798828125,0.7264999747276306,16,0.0,0.0,1604812500,,,,0,,3,-45.46,22.6,4868.27392578125,16.33734703063965,,,C,678246625157400,1,21674007.23594514,11958244.586894019,6304431.503442629,-717.7958861445151,-506.19466970896883,3449.8300192539846,35872.06360310316,0.0,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1773849034427,589344521000000,18,0.0,-1457294907906316256,-0.2549114227294922,142.92277046479285,-0.21556239988615278,13.87563758103154,21,34,0.0,16399,316238343116342,46,25.7,530.2498779296875,0.8089999556541443,16,0.0,0.0,1561098000,,,,0,,5,-53.95,20.7,-481.86529541015625,16.207408905029297,,,I,678246625157400,1,12066030.262736026,24936648.54171798,3437003.510604757,-23.839902249943663,431.3801383952629,-3026.9111687400687,271755.55756633333,0.002476074267178774,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1773849034427,589344521000000,18,0.0,-1457294907906316256,-0.2549114227294922,142.92277046479285,-0.21556239988615278,13.87563758103154,21,21,0.0,16399,316238342535889,27,29.6,501.3863220214844,0.640500009059906,16,0.0,0.0,1561098000,,,,0,,5,-53.95,24.6,-481.86529541015625,16.207408905029297,,,I,678246625157400,1,-4444408.472616229,14768493.804584233,23271327.81068025,-2592.5103849411835,-563.504343110164,-133.97952083035145,-260167.85173032066,0.0010741878359112889,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1773849034427,589344521000000,18,0.0,-1457294907906316256,-0.2549114227294922,142.92277046479285,-0.21556239988615278,13.87563758103154,21,13,0.0,16399,316238294650527,46,25.6,217.70556640625,1.0024999380111694,16,0.0,0.0,1561098000,,,,0,,5,-53.95,20.6,-481.86529541015625,16.207408905029297,,,I,678246625157400,1,-9003849.853790367,22886298.41766535,34405236.90488888,-1243.2422915691143,881.3867072635369,-930.1472150635832,-111522.58934275038,-0.005199657825869508,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
